,,,,,,,,,,2018 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,4th Solo Unlimited Man,"Andrew Davis
TC - Jacob Simmons
TC - Jessica Davis",556,9:00, ,12:13:00, ,16:42:00, ,21:24:00, ,3:54:00, ,12:13:00, ,18:45:00, ,22:42:00, ,11:56:00, ,19:20:00, ,0:47:00, ,6:50:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,36,3:13:00,32,4:29:00,49,4:42:00,44,6:30:00,33,8:19:00,50,6:32:00,51,3:57:00,49,13:14:00,29,7:24:00,39,5:27:00,25,6:03:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,36,3:13:00,33,7:42:00,39,12:24:00,40,18:54:00,38,27:13:00,39,33:45:00,38,37:42:00,35,50:56:00,34,58:20:00,27,63:47:00,26,69:50:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,4th USCA C-2,"David Kaiser
Max Dugas
TC Stephen Beaudroux",2525,9:00, ,11:59:00, ,16:32:00, ,20:47:00, ,2:39:00, ,11:20:00, ,16:48:00, ,20:11:00, ,7:25:00, ,14:25:00, ,19:12:00, ,6:52:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,25,2:59:00,40,4:33:00,31,4:15:00,32,5:52:00,40,8:41:00,28,5:28:00,35,3:23:00,29,11:14:00,21,7:00:00,24,4:47:00,81,11:40:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,25,2:59:00,31,7:32:00,31,11:47:00,31,17:39:00,31,26:20:00,30,31:48:00,30,35:11:00,23,46:25:00,23,53:25:00,23,58:12:00,27,69:52:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,5th USCA C-2,"Chad Keeth
Corey Pudhorodsky
TC Brian Koziol
TC Kelley Keeth",46,9:00, ,12:13:00, ,17:00:00, ,21:24:00, ,3:38:00, ,11:57:00, ,18:40:00, ,22:27:00, ,13:12:00, ,20:23:00, ,2:01:00, ,7:31:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,36,3:13:00,48,4:47:00,36,4:24:00,36,6:14:00,33,8:19:00,51,6:43:00,47,3:47:00,65,14:45:00,28,7:11:00,44,5:38:00,14,5:30:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,36,3:13:00,45,8:00:00,39,12:24:00,37,18:38:00,35,26:57:00,38,33:40:00,35,37:27:00,39,52:12:00,37,59:23:00,31,65:01:00,28,70:31:00,,,,,,,,,,,,,,,,,,,,,,,
